place_id,name,IG_link,img_source
ChIJ1_cMg4upQjQRNORaeNLcO_8,赤神日式豬排公館店,https://www.instagram.com/explore/locations/237676389/-/,https://www.instagram.com/p/B3PTMLRHict/
ChIJm9Pm4oqpQjQRDV5mvDLTn_k,幸好沒錯過你 Master K. 公館-排隊巷弄美食 隱藏日式料理(人氣必吃),null,None
ChIJ0z6TUYmpQjQR4H4LvJsT1I4,蓮花日式料理(台大店),null,None
ChIJJQBpS_WpQjQR1QUnsPcIhwY,狗一下居酒食堂-公館店,null,None
ChIJkemjkoupQjQR0-1kiS9Pu-g,GINDACO築地(台灣公館店),null,None
ChIJvVwtAIypQjQR9zeQpfeQjUg,小原田 公館店,null,None
ChIJi61r0NipQjQRk-o8hSk5oG8,丼壽司,null,None
ChIJVVVVVRWsQjQRmPdlBQr3qys,小飯館兒,https://www.instagram.com/explore/locations/1024500790/,https://www.instagram.com/p/BsajUy-Ho7A/
ChIJT2ATg4upQjQRsuHtuX_giws,韓江館銅盤烤肉,https://www.instagram.com/explore/locations/284118303/,https://www.instagram.com/p/BSiBETFBYgO/
ChIJQ58t3IqpQjQRpGtxc8kfAAM,首爾之星 Korean Food Express,https://www.instagram.com/explore/locations/1342390865856282/korean-food-express/,https://www.instagram.com/p/Bm0MM5Nh8PT/
ChIJB5Ima4mpQjQRB3RV3z1H820,韓庭州韓國料理,https://www.instagram.com/explore/locations/33685630/,https://www.instagram.com/p/CFb4OGoD0Ci/
ChIJFzzD4oqpQjQRQhKQwn4ydLM,韓天閣,https://www.instagram.com/explore/locations/235463917/,https://www.instagram.com/p/BwmTIgrgxOZ/
ChIJ_4UUh4upQjQRrLM2RIXgA3Q,首爾之家,https://www.instagram.com/explore/locations/422457185/-/,https://www.instagram.com/p/CEGDC8HllNN/
ChIJPXPKPuypQjQR08RUkkTgw3U,華克山莊-韓式料理,null,None
ChIJVRHL5YqpQjQR1lBVvU0ZQN0,雲泰小鎮泰式料理,https://www.instagram.com/explore/locations/230202201/,https://www.instagram.com/p/B-ECgV8HCGN/
ChIJkVXT3YqpQjQRhLHnZ8tqRXM,泰正點泰式料理 NICE THAI FOOD,https://www.instagram.com/explore/locations/659065942/nice-thai/,https://www.instagram.com/p/B6crZZZjMNm/
ChIJYQe0dYupQjQRmcw_n5dhpzQ,新南城泰式料理(公館店),https://www.instagram.com/explore/locations/4892697/,https://www.instagram.com/p/BZK0M72niRD/
ChIJQ58t3IqpQjQRbZu9x77xAiY,Chic Thai 泰式新定食,null,None
ChIJx-UMo4qpQjQRxf510AgLYJ0,Lacuz 泰式無限,https://www.instagram.com/explore/locations/234841555/lacuz/,https://www.instagram.com/p/B2txkUzhRsR/
ChIJ8wrkH4upQjQReXRqJt1VCEg,阿剛泰式主題餐廳,https://www.instagram.com/explore/locations/89001077/,https://www.instagram.com/p/BXszWSXAiER/
ChIJ5ZCSloupQjQR008IMUu19nQ,THAIHAND 右手餐廳 公館店,https://www.instagram.com/explore/locations/246632906075329/thaihand/,https://www.instagram.com/p/BnQ8wlVhbHh/
ChIJWzVrzpupQjQRak2OeMou72M,曼德樂泰式料理,https://www.instagram.com/explore/locations/31425424/,https://www.instagram.com/p/Bk-g13Mg5GR/
ChIJqRrRhIupQjQRqqEjglBbPZA,母女的店,https://www.instagram.com/explore/locations/848733/,https://www.instagram.com/p/Bw95nEcHODC/
