place_id,chinese_name,pinyin
ChIJD5QDLh6qQjQRTebziM2ASrk,NO68小吃館,NO68 xiǎo chī guǎn 
ChIJ4_gu74qpQjQRSEOje3P3-mE,水源食坊-不一樣炒飯,shuǐ yuán shí fāng - bù yī yàng chǎo fàn 
ChIJ3dDD6IqpQjQRucuudqWtJoM,狠台 台式炒飯炒麵,hěn tái   tái shì chǎo fàn chǎo miàn 
ChIJjRUEDg-pQjQRsOnRPfyaji4,油夠飯濺 炒飯店,yóu gòu fàn jiàn   chǎo fàn diàn 
ChIJ_fgu74qpQjQRSOvT-G7mkdI,龍記炒燴,lóng jì chǎo huì 
ChIJRVYUoYupQjQRjjrI_CDS0SQ,香港泉記小吃館,xiāng gǎng quán jì xiǎo chī guǎn 
ChIJ_fgu74qpQjQRup_fjb1ntWE,祥記號美食小吃,xiáng jì hào měi shí xiǎo chī 
ChIJySfUe4ypQjQRgoVeUgYjZrI,香鄉麵食館,xiāng xiāng miàn shí guǎn 
ChIJ2y44g4upQjQRUyE9HmNk1ZY,香港亨記(公館店),xiāng gǎng hēng jì ( gōng guǎn diàn ) 
ChIJow645DKpQjQR7WPDEWVFqco,心KOKORO食堂/台北日式料理/公館美食/公館小吃/公館餐廳/公館日式料理/公館壽司,xīn KOKORO shí táng / tái běi rì shì liào lǐ / gōng guǎn měi shí / gōng guǎn xiǎo chī / gōng guǎn cān tīng / gōng guǎn rì shì liào lǐ / gōng guǎn shòu sī 
ChIJfYm9wYupQjQR0EZq7Pq77n8,平山家日式料理,píng shān jiā rì shì liào lǐ 
ChIJ1_cMg4upQjQRNORaeNLcO_8,赤神日式豬排公館店,chì shén rì shì zhū pái gōng guǎn diàn 
ChIJm9Pm4oqpQjQRDV5mvDLTn_k,幸好沒錯過你 Master K. 公館-排隊巷弄美食 隱藏日式料理(人氣必吃),xìng hǎo méi cuò guò nǐ  Master K.  gōng guǎn - pái duì xiàng nòng měi shí   yǐn cáng rì shì liào lǐ ( rén qì bì chī ) 
ChIJ0z6TUYmpQjQR4H4LvJsT1I4,蓮花日式料理(台大店),lián huā rì shì liào lǐ ( tái dà diàn ) 
ChIJJQBpS_WpQjQR1QUnsPcIhwY,狗一下居酒食堂-公館店,gǒu yī xià jū jiǔ shí táng - gōng guǎn diàn 
ChIJkemjkoupQjQR0-1kiS9Pu-g,GINDACO築地(台灣公館店),GINDACO zhù dì ( tái wān gōng guǎn diàn ) 
ChIJvVwtAIypQjQR9zeQpfeQjUg,小原田 公館店,xiǎo yuán tián   gōng guǎn diàn 
ChIJi61r0NipQjQRk-o8hSk5oG8,丼壽司,jǐng shòu sī 
ChIJVVVVVRWsQjQRmPdlBQr3qys,小飯館兒,xiǎo fàn guǎn ér 
ChIJT2ATg4upQjQRsuHtuX_giws,韓江館銅盤烤肉,hán jiāng guǎn tóng pán kǎo ròu 
ChIJQ58t3IqpQjQRpGtxc8kfAAM,首爾之星 Korean Food Express,shǒu ěr zhī xīng  Korean Food Express 
ChIJB5Ima4mpQjQRB3RV3z1H820,韓庭州韓國料理,hán tíng zhōu hán guó liào lǐ 
ChIJFzzD4oqpQjQRQhKQwn4ydLM,韓天閣,hán tiān gé 
ChIJ_4UUh4upQjQRrLM2RIXgA3Q,首爾之家,shǒu ěr zhī jiā 
ChIJPXPKPuypQjQR08RUkkTgw3U,華克山莊-韓式料理,huá kè shān zhuāng - hán shì liào lǐ 
ChIJVRHL5YqpQjQR1lBVvU0ZQN0,雲泰小鎮泰式料理,yún tài xiǎo zhèn tài shì liào lǐ 
ChIJkVXT3YqpQjQRhLHnZ8tqRXM,泰正點泰式料理 NICE THAI FOOD,tài zhèng diǎn tài shì liào lǐ  NICE THAI FOOD 
ChIJYQe0dYupQjQRmcw_n5dhpzQ,新南城泰式料理(公館店),xīn nán chéng tài shì liào lǐ ( gōng guǎn diàn ) 
ChIJQ58t3IqpQjQRbZu9x77xAiY,Chic Thai 泰式新定食,Chic Thai  tài shì xīn dìng shí 
ChIJx-UMo4qpQjQRxf510AgLYJ0,Lacuz 泰式無限,Lacuz  tài shì wú xiàn 
ChIJ8wrkH4upQjQReXRqJt1VCEg,阿剛泰式主題餐廳,ā gāng tài shì zhǔ tí cān tīng 
