place_id,chinese_name,pinyin
ChIJm9Pm4oqpQjQRDV5mvDLTn_k,幸好沒錯過你 Master K. 公館-排隊巷弄美食 隱藏日式料理(人氣必吃),xìng hǎo méi cuò guò nǐ  Master K.  gōng guǎn - pái duì xiàng nòng měi shí   yǐn cáng rì shì liào lǐ ( rén qì bì chī ) 
ChIJi61r0NipQjQRk-o8hSk5oG8,丼壽司,jǐng shòu sī 
ChIJ1RzZGJCpQjQRSjPGB8RuQLg,福岡日式簡餐,fú gāng rì shì jiǎn cān 
ChIJ88m1ZY-pQjQRfB8nsVz-Svw,飯館兒韓式專門店,fàn guǎn ér hán shì zhuān mén diàn 
ChIJT2ATg4upQjQRsuHtuX_giws,韓江館銅盤烤肉,hán jiāng guǎn tóng pán kǎo ròu 
ChIJB5Ima4mpQjQRB3RV3z1H820,韓庭州韓國料理,hán tíng zhōu hán guó liào lǐ 
ChIJQ58t3IqpQjQRpGtxc8kfAAM,首爾之星 Korean Food Express,shǒu ěr zhī xīng  Korean Food Express 
ChIJ_4UUh4upQjQRrLM2RIXgA3Q,首爾之家,shǒu ěr zhī jiā 
ChIJf_wOJpCpQjQRcx66sQNJUPQ,韓石鍋,hán shí guō 
ChIJPXPKPuypQjQR08RUkkTgw3U,華克山莊-韓式料理,huá kè shān zhuāng - hán shì liào lǐ 
ChIJYQe0dYupQjQRmcw_n5dhpzQ,新南城泰式料理(公館店),xīn nán chéng tài shì liào lǐ ( gōng guǎn diàn ) 
ChIJVRHL5YqpQjQR1lBVvU0ZQN0,雲泰小鎮泰式料理,yún tài xiǎo zhèn tài shì liào lǐ 
ChIJkVXT3YqpQjQRhLHnZ8tqRXM,泰正點泰式料理 NICE THAI FOOD,tài zhèng diǎn tài shì liào lǐ  NICE THAI FOOD 
ChIJx-UMo4qpQjQRxf510AgLYJ0,Lacuz 泰式無限,Lacuz  tài shì wú xiàn 
ChIJQ58t3IqpQjQRbZu9x77xAiY,Chic Thai 泰式新定食,Chic Thai  tài shì xīn dìng shí 
