,Region,Category,Subcategory,Id,Name,pinyin,Score,IG_link,Google_link
53,118,台式/小吃,炒飯,ChIJ1fcqRymqQjQRt2iRWuWHkUc,姐妹小吃店,jiě mèi xiǎo chī diàn ,6.963509761176043,None,https://maps.google.com/?cid=5157052467452668087
70,118,日式料理,日式料理,ChIJk1iCfNurQjQRa09O8sJeSM4,余韻日本料理,yú yùn rì běn liào lǐ ,6.962590709303437,https://www.instagram.com/explore/locations/1020795107/,https://maps.google.com/?cid=14864234761518206827
340,gongguan,速食,速食,ChIJJ07sEIupQjQRkXeWp79RI0s,魔法雞排,mó fǎ jī pái ,6.944274102787596,None,https://maps.google.com/?cid=5414261060621727633
373,gongguan,西式/美式,早午餐,ChIJA67rzEupQjQR-pS-IzVjy9s,45brunchcafe,45brunchcafe ,6.91386314934618,https://www.instagram.com/explore/locations/106345847919231/45-brunch-cafe/,https://maps.google.com/?cid=15837861594462590202
206,gongguan,台式/小吃,水餃,ChIJe_MK3oupQjQRnzZoMhH5lqs,八方雲集(台大店),bā fāng yún jí ( tái dà diàn ) ,6.909659114953347,https://www.instagram.com/explore/locations/2167981/,https://maps.google.com/?cid=12364343679247726239
40,118,火鍋,火鍋,ChIJMS8whyuqQjQRbqBGebOZsdc,禾豐日式涮涮鍋,hé fēng rì shì shuàn shuàn guō ,6.899878380286251,https://www.instagram.com/explore/locations/1932181/,https://maps.google.com/?cid=15542372785145159790
27,118,飲料/甜點,飲料,ChIJ8ddmN0urQjQRqq7PUMioVF4,日日良選科技大樓店,rì rì liáng xuǎn kē jì dà lóu diàn ,6.892467462921838,None,https://maps.google.com/?cid=6797243315911634602
247,wenzhou,日式料理,日式料理,ChIJwwvWSYmpQjQRxFxWRHIWG9E,漁人食舖,yú rén shí pù ,6.889655345988931,https://www.instagram.com/explore/locations/499370007112297/,https://maps.google.com/?cid=15067661658326719684
163,gongguan,台式/小吃,粥,ChIJsxRQ5oupQjQRN_9HJB8OuEk,粥粥頌廣東粥專賣店,zhōu zhōu sòng guǎng dōng zhōu zhuān mài diàn ,6.874735135951885,https://www.instagram.com/explore/locations/903718139/,https://maps.google.com/?cid=5312011287398973239
25,118,飲料/甜點,飲料,ChIJqwjYhS6qQjQR4HTbiTKughk,囍庄茶舖,xǐ zhuāng chá pù ,6.869289829041694,None,https://maps.google.com/?cid=1838223130005042400
360,gongguan,台式/小吃,小吃,ChIJZwBEwoqpQjQR03u0Qvnj9zg,劉記古早味蔥蛋餅,liú jì gǔ zǎo wèi cōng dàn bǐng ,6.847304292204758,None,https://maps.google.com/?cid=4105000245076982739
3,118,西式/美式,義大利麵,ChIJyZVhyy6qQjQRwfSyA51_YQk,麵工坊義大利麵,miàn gōng fāng yì dà lì miàn ,6.830670476653572,https://www.instagram.com/explore/locations/236799206/,https://maps.google.com/?cid=675961731430937793
55,118,台式/小吃,小吃,ChIJnaNrgC6qQjQR_4PeUQsrutw,重慶小吃,zhòng qìng xiǎo chī ,6.829623697042665,https://www.instagram.com/explore/locations/1058764437591163/,https://maps.google.com/?cid=15905072361630499839
339,wenzhou,速食,速食,ChIJDyzuc-mpQjQRw9K9ufD0BkY,食玖炸雞,shí jiǔ zhà jī ,6.824308511603836,None,https://maps.google.com/?cid=5045989747260773059
143,wenzhou,日式料理,咖哩,ChIJq4CrE4mpQjQRJPnkytgaWVI,稻咖哩,dào kā lī ,6.792336417577266,https://www.instagram.com/explore/locations/1964263537163385/,https://maps.google.com/?cid=5933803502456600868
140,wenzhou,西式/美式,義大利麵,ChIJswp0NJCpQjQRXCIZhrkhW7E,MiSTAHouse,MiSTAHouse ,6.78638950250432,https://www.instagram.com/explore/locations/215277402238530/mista-house/,https://maps.google.com/?cid=12779845448296374876
183,wenzhou,飲料/甜點,飲料,ChIJHRt5OcmpQjQRjVunmP30itI,四口木鮮果飲,sì kǒu mù xiān guǒ yǐn ,6.775322257243745,None,https://maps.google.com/?cid=15171207664775945101
379,gongguan,素食/健康,素食,ChIJ3w5fIOyrQjQRj-DLqFROcvI,藝素佳素食,yì sù jiā sù shí ,6.769702382480338,None,https://maps.google.com/?cid=17470112030039728271
80,118,台式/小吃,滷味,ChIJwy2aJyyqQjQRiF3ZZuXKHJw,成功食品王興富滷味,chéng gōng shí pǐn wáng xìng fù lǔ wèi ,6.758830078330332,None,https://maps.google.com/?cid=11249089055886499208
2,118,西式/美式,義大利麵,ChIJD_lknCiqQjQRVGHx1rKAMAQ,貝菈小屋,bèi lā xiǎo wū ,6.735167081870655,https://www.instagram.com/explore/locations/1020964267/,https://maps.google.com/?cid=301882680632500564
7,118,西式/美式,義大利麵,ChIJbWZX5CuqQjQRWSO_bCWVuks,Vitalit義式廚房,Vitalit yì shì chú fáng ,6.727333802781471,https://www.instagram.com/explore/locations/545565008/vitalita/,https://maps.google.com/?cid=5456837886483571545
74,118,韓式料理,韓式料理,ChIJVbJC9y2qQjQRuwy0BqC_f_8,西羅伐,xī luó fá ,6.7201633797354905,https://www.instagram.com/explore/locations/241206913/,https://maps.google.com/?cid=18410644495742012603
205,gongguan,台式/小吃,水餃,ChIJUdix0o-pQjQRTNfqm-IQpFM,豪季水餃專賣店,háo jì shuǐ jiǎo zhuān mài diàn ,6.715757741172805,https://www.instagram.com/explore/locations/239325775/,https://maps.google.com/?cid=6026960766793078604
300,wenzhou,西式/美式,早午餐,ChIJDaM7WI6pQjQR9A52NpFPC84,歐吧早午餐,ōu ba zǎo wǔ cān ,6.704971873840858,https://www.instagram.com/explore/locations/1525904547719004/,https://maps.google.com/?cid=14847048081659530996
76,118,東南亞,泰式料理,ChIJQyy5Ky-qQjQRMasV9k52ShU,湄賽雲泰料理,méi sài yún tài liào lǐ ,6.687770132382704,https://www.instagram.com/explore/locations/1024740593/,https://maps.google.com/?cid=1534168704581217073
